Year,Page,Brand,Product,Size,Base_Price,Promo_Price,Promo_Type,Promo_Details,Digital_Req,Non_Digital_Price,Member_Req,Savings,Discount_Depth,Net_Price,Core_Item
2019,10,Honeysuckle White,Whole Turkey Frozen,10-22 lbs,,$0.47/lb,SPEND_GET,Spend $100 get turkey up to 20 lbs,NO,,NO,,,0.47,TURKEY
2019,10,,Specialty Cheese,select varieties,,$0.25 off,PERCENT_OFF,25% off,NO,,NO,25%,25%,,
2019,10,,Raw Shrimp,41-50 ct,,$3.99/lb,STRAIGHT_PRICE,,NO,,NO,,,3.99,
2019,10,Cuties,Mandarins,3 lbs,,$2.88,STRAIGHT_PRICE,,NO,,NO,,,2.88,
2019,10,,Fresh Asparagus,bunch,,$1.88/lb,STRAIGHT_PRICE,,NO,,NO,,,1.88,
2019,10,Private Label,Russet Idaho Grown Potatoes,10 lb bag,,$1.48,STRAIGHT_PRICE,,NO,,NO,,,1.48,RUSSET_POTATOES
2019,10,Lucerne,Butter,16 oz quarters,,$1.99,STRAIGHT_PRICE,Limit 2,NO,,NO,,,1.99,
2019,10,Cheez-It,Crackers,6-12.4 oz,,$0.00,BUNDLE,FREE when you buy any 5 Coca-Cola Soft Drinks 6 to 12-pk,NO,,NO,,,0.00,
2019,10,Coca-Cola,Soft Drinks,6-12 pk 12 oz,,$2.49,MULTIBUY,Limit 5,NO,,NO,,,2.49,
2019,10,Pepsi/Bubly/Aquafina,Soft Drinks/Water,select sizes,,$2.99,DIGITAL_ONLY,When you buy any 5 Limit 5,YES,$1.99 with app,NO,,,1.99,
2019,10,Jimmy Dean,Premium Bacon,select sizes,,$1.99,DIGITAL_ONLY,Limit 4,YES,,NO,,,1.99,
2019,10,Folgers or Starbucks,Coffee,select sizes and varieties,,$5.99,DIGITAL_ONLY,Limit 4,YES,,NO,,,5.99,
2019,10,,Fresh 85% Lean Ground Beef,3 lbs or more,,$2.99/lb,DIGITAL_ONLY,,YES,,NO,,,2.99,
2019,10,Lucerne,Cheese Chunk or Shredded,32 oz,,$4.99,DIGITAL_ONLY,Limit 4,YES,,NO,,,4.99,
2019,10,Kraft,Philadelphia Cream Cheese,8 oz,,$1.29,DIGITAL_ONLY,Limit 4,YES,,NO,,,1.29,PHILADELPHIA_CREAM_CHEESE
2019,10,Lucerne,Sour Cream,16 oz,,$1.29,DIGITAL_ONLY,,YES,,NO,,,1.29,
2019,10,,Colossal Wild Shrimp,13-15 ct raw 21-30 ct cooked,,$7.99/lb,DIGITAL_ONLY,Limit 8 lbs,YES,,NO,,,7.99,
2019,10,Campbell's,Soup,select sizes and varieties,,$0.88,DIGITAL_ONLY,Limit 12,YES,,NO,,,0.88,CAMPBELLS_SOUP
2019,10,White Claw/Truly/Cape Line,Hard Seltzer,12-pk 12 oz cans,,$13.99,DIGITAL_ONLY,Limit 4,YES,,NO,,,13.99,
2019,10,Budweiser/Coors/Miller/Michelob Ultra,Beer,24-pk 12 oz cans,,$9.99,DIGITAL_ONLY,Limit 2,YES,,NO,,,9.99,
2019,10,Kendall Jackson/Josh Cellars/Ferrari Carano,Wine,750 ml,$12.99,$11.69,MIX_MATCH,When you buy any 6 mix or match -10%,NO,,NO,$1.30,10%,11.69,
2019,10,Coppola Claret/Erath/Butter,Wine,750 ml,$13.99,$12.59,MIX_MATCH,When you buy any 6 mix or match -10%,NO,,NO,$1.40,10%,12.59,
