Year,Page,Brand,Product,Size,Base_Price,Promo_Price,Promo_Type,Promo_Details,Digital_Req,Non_Digital_Price,Member_Req,Savings,Discount_Depth,Net_Price,Core_Item
2025,1,Private Label,Sweet Potatoes,,,0.25,STRAIGHT_PRICE,per lb,NO,,YES,,,0.25,
2025,1,Ocean Spray,Fresh Cranberries,12 oz bag,,1.5,MULTIBUY,2/$3,NO,,YES,,,1.5,YES
2025,1,Private Label,Mandarins,,,2.79,STRAIGHT_PRICE,,NO,,YES,,,2.79,
2025,1,Private Label,Pomegranates,,,1.5,MULTIBUY,2/$3,NO,,YES,,,1.5,
2025,1,Private Label,Shank Portion Ham,,,1.59,STRAIGHT_PRICE,per lb,NO,,YES,,,1.59,
2025,1,Smithfield,Portion Ham,,,1.79,STRAIGHT_PRICE,per lb,NO,,YES,,,1.79,
2025,1,Private Label,Frozen Turkey,10 lbs or larger Grade A Basted,2.79,0.39,STRAIGHT_PRICE,Limit 1 with $35 min grocery purchase,NO,,YES,2.4,86%,0.39,YES
2025,1,Private Label,Ground Beef,93% Lean Fresh,,5.99,STRAIGHT_PRICE,per lb,NO,,YES,,,5.99,
2025,1,Oscar Mayer,Sliced Bacon,12 oz pkg,,3.99,STRAIGHT_PRICE,MVP Digital Coupon,YES,,YES,,,3.99,
2025,1,Private Label,Cooked Shrimp,12-17 oz,7.99,4,BOGO_FREE,,NO,,YES,3.99,50%,4,
2025,1,King's Hawaiian,Rolls,12 ct,,3.49,STRAIGHT_PRICE,,NO,,YES,,,3.49,
2025,1,Franzia,Wine,5 Liter,,18.99,STRAIGHT_PRICE,,NO,,YES,,,18.99,
2025,1,Kraft,Salad Dressing,14-16 oz,2.43,1.22,BOGO_FREE,MVP Digital Coupon,YES,,YES,1.21,50%,1.22,
2025,1,Land O Lakes,Butter Quarters,16 oz,6.99,3.5,BOGO_FREE,,NO,,YES,3.49,50%,3.5,
2025,1,Wise,Cheese Puffs or Popcorn,4-7 oz,,1.75,BOGO_FREE,,NO,,YES,,50%,1.75,
2025,1,Sara Lee,Hawaiian or Artesano Bakery Rolls,,,2.5,BOGO_FREE,,NO,,YES,,50%,2.5,
2025,1,Party Trays,Snacks or Party Tray,,,3,BOGO_FREE,,NO,,YES,,50%,3,
2025,1,Private Label,Ice Cream or Frozen Dessert,48 oz,4.29,2.15,BOGO_FREE,,NO,,YES,2.14,50%,2.15,
2025,1,Michelob Ultra,Beer,24 pack,,20.99,STRAIGHT_PRICE,,NO,,YES,,,20.99,
2025,1,Private Label,Shredded Cheese,5-8 oz,,1.67,MULTIBUY,3/$5,NO,,YES,,,1.67,
2025,1,Duke's,Mayonnaise,32 oz,,3.99,STRAIGHT_PRICE,,NO,,YES,,,3.99,
2025,1,Private Label,Sour Cream,16 oz,,3.99,STRAIGHT_PRICE,,NO,,YES,,,3.99,
2025,1,Pepsi,Products,12 pack 12 oz cans,,2.5,MULTIBUY,2/$9,NO,,YES,,,4.5,
2025,1,Tropicana,Orange Juice,52 oz,,3.5,MULTIBUY,2/$7,NO,,YES,,,3.5,
2025,1,Nabisco,Oreo Cookies,5.7-9.6 oz,,3,MULTIBUY,2/$6,NO,,YES,,,3,
2025,1,Jell-O,Instant Pudding Mix or Gelatin,.3-3.4 oz,,1.79,STRAIGHT_PRICE,,NO,,YES,,,1.79,
2025,1,Angel Soft,Bath Tissue,8 Double Rolls,,5.49,STRAIGHT_PRICE,,NO,,YES,,,5.49,
2025,1,Hanover,Canned Vegetables,14-15.5 oz,,0.5,MULTIBUY,4/$4,NO,,YES,,,1,
2025,1,Del Monte,Canned Vegetables,14.5-15.25 oz,,0.75,BOGO_FREE,,NO,,YES,,50%,0.75,
2025,1,Coke,Products,2 Liter,,2.5,MULTIBUY,2/$5,NO,,YES,,,2.5,
2025,3,Fresh Butterball,Turkey,10 lb or larger,,1.29,STRAIGHT_PRICE,per lb While Supplies Last,NO,,YES,,,1.29,YES
2025,3,Frozen Butterball,Turkey,20 lbs or larger,,0.99,STRAIGHT_PRICE,per lb While Supplies Last,NO,,YES,,,0.99,YES
