Year,Page,Brand,Product,Size,Base_Price,Promo_Price,Promo_Type,Promo_Details,Digital_Req,Non_Digital_Price,Member_Req,Savings,Discount_Depth,Net_Price,Core_Item
2019,1,Nature's Promise,Fresh Turkey,10-26 lb avg wt,,0.99,STRAIGHT_PRICE,per lb,NO,,YES,,,0.99,YES
2019,1,Butterball,Grade A Frozen Turkey,14-16 lb avg wt,,0.99,STRAIGHT_PRICE,per lb,NO,,YES,,,0.99,YES
2019,1,Butterball,Grade A Fresh Turkey,10-24 lb avg wt,,1.69,STRAIGHT_PRICE,per lb,NO,,YES,,,1.69,YES
2019,1,Nature's Promise,Fully Cooked or Brined Turkey,10-14 lb,,2.99,STRAIGHT_PRICE,per lb,NO,,YES,,,2.99,YES
2019,1,Nature's Promise,Fresh Organic Turkey,10-16 lb avg wt,,3.99,STRAIGHT_PRICE,per lb,NO,,YES,,,3.99,YES
2019,1,Private Label,Giant Grade A Frozen Turkey,10-26 lb avg wt,,0.39,SPEND_GET,With $25 purchase - excludes price of turkey - Limit 2,NO,,YES,,,0.39,YES
2019,1,Handi-Foil,Bakeware,Selected Varieties,,FREE,BOGO_FREE,Buy 2 Get 1 Free,NO,,YES,,,0,NO
2019,1,Private Label,Giant Spiral Sliced Half or Whole Ham,,,2.49,STRAIGHT_PRICE,per lb,NO,,YES,,,2.49,NO
2019,1,Private Label,Sweet Potatoes,,,0.39,STRAIGHT_PRICE,per lb,NO,,YES,,,0.39,NO
2019,1,Private Label,Giant Potatoes or Yellow Onions,Red or Yellow Potatoes 5 lb or Onions 3 lb,,FREE,BOGO_FREE,Buy 1 Get 1 Free,NO,,YES,,,0,NO
2019,1,Ocean Spray,Cranberries,12 oz pkg,,2,MULTIBUY,2/$4,NO,,YES,,,2,NO
2019,1,Private Label,Giant Peeled Baby-Cut Carrots or Celery Hearts,Carrots 2 lb or Celery Hearts 1 lb,,2,MULTIBUY,2/$4,NO,,YES,,,2,NO
2019,1,Private Label,Giant Boneless Skinless Chicken Breasts,Value Pack 4-5 lb,,1.99,STRAIGHT_PRICE,per lb,NO,,YES,,,1.99,NO
2019,1,Coca-Cola,Coke 12 or 8 Pack,12/12 fl oz cans or 8/12 fl oz btls,,FREE,BUNDLE,3 Free when you buy 2,NO,,YES,,,0,NO
2019,1,Breyers,All Natural Ice Cream,32.5-48 fl oz cont,,2.5,MULTIBUY,4/$10,NO,,YES,,,2.5,NO
2019,1,Stove Top,Stuffing,Selected Varieties,,1.5,MULTIBUY,2/$3,NO,2.99,YES,,,1.5,YES
2019,1,Ocean Spray,Cranberry Cocktail or Grapefruit Juice,64 fl oz btls,,1.99,MULTIBUY,2/$4,NO,,YES,,,1.99,NO
2019,1,Heinz,Gravy,12 oz,,1.5,MULTIBUY,2/$3,NO,,YES,,,1.5,NO
2019,1,Private Label,Giant Cranberry Sauce,12 oz,,1.5,MULTIBUY,2/$3,NO,,YES,,,1.5,NO
2019,1,Swanson,Broth or Stock,32 oz,2.99,1.67,MULTIBUY,3/$5,NO,,YES,,,1.67,YES
2019,1,Prego,Pasta Sauce or Alfredo Sauce,14-24 oz,,1.67,MULTIBUY,3/$5,NO,,YES,,,1.67,NO
2019,1,Kendall Jackson,Vintner's Reserve Wine,750 ml btl,,10.99,STRAIGHT_PRICE,,NO,,YES,,,10.99,NO
2019,1,Green Giant,Classic Vegetables,Frozen 7-10 oz,,1,MULTIBUY,5/$5,NO,,YES,,,1,NO
2019,1,Deer Park,24 Pack Water,24/16.9 fl oz btls,,3,MULTIBUY,3/$9,NO,,YES,,,3,NO
2019,1,Charmin,Bath Tissue,9 Mega or 6 Mega Plus Roll,,8.99,STRAIGHT_PRICE,When you buy 2,NO,9.99,YES,,,8.99,NO
2019,1,Bounty,Paper Towels,8 Single Plus Roll,,8.99,STRAIGHT_PRICE,When you buy 3,NO,9.99,YES,,,8.99,NO
2019,1,Nabisco,Ritz Crackers or Stoned Wheat Thins,7.5-13.7 oz,,1.99,STRAIGHT_PRICE,When you buy 2,NO,2.56,YES,,,1.99,NO
2019,1,Private Label,8-Inch Pie,Apple Dutch Apple Sweet Potato or Pumpkin,,3.99,STRAIGHT_PRICE,each,NO,,YES,,,3.99,NO
2019,1,King's Hawaiian,Rolls,Honey Wheat or Butter 12-14 oz,,3.5,MULTIBUY,2/$7,NO,,YES,,,3.5,NO
2019,1,Tropicana,Pure Premium Orange Juice,52 fl oz,,2.5,MULTIBUY,2/$5,YES,,YES,,,2.5,NO
2019,1,Kraft,Shredded or Cracker Barrel Chunk Cheese,5-8 oz,,2.5,MULTIBUY,2/$5,NO,,YES,,,2.5,NO
2019,1,Taco Bell,Shredded Cheese,7-8 oz,,2.5,MULTIBUY,2/$5,NO,,YES,,,2.5,NO
2019,1,Oscar Mayer,Sliced Bacon,12-16 oz,,4.99,STRAIGHT_PRICE,,NO,,YES,,,4.99,NO
2019,1,Starbucks,Coffee or K-Cups,Coffee 10-12 oz bag or K-Cups 6-10 ct,,5.99,STRAIGHT_PRICE,,NO,,YES,,,5.99,NO
2019,1,General Mills,Post Cereal,Nature Valley or Fiber One 6-15.3 oz,,1.99,STRAIGHT_PRICE,,NO,,YES,,,1.99,NO
2019,2,Bob Evans,Side Dish,12-24 oz,,3.33,MULTIBUY,3/$10,NO,,YES,,,3.33,NO
2019,2,Smithfield,Breakfast Sausage,12 oz pkg,,3,MULTIBUY,2/$6,NO,,YES,,,3,NO
2019,2,Hatfield,Ground Sausage,16 oz,,2.5,MULTIBUY,2/$5,NO,,YES,,,2.5,NO
2019,2,Jimmy Dean,Sausage,9.6 oz,,3,MULTIBUY,2/$6,NO,,YES,,,3,NO
2019,2,Plumrose,Boneless Smoked Ham Steak,12 oz,,FREE,BOGO_FREE,Buy 1 Get 1 Free,NO,,YES,,,0,NO
2019,2,Banquet,Brown'N Serve Sausage Links or Patties,6.4 oz,,1,MULTIBUY,10/$10,NO,,YES,,,1,NO
