Year,Page,Brand,Product,Size,Base_Price,Promo_Price,Promo_Type,Promo_Details,Digital_Req,Non_Digital_Price,Member_Req,Savings,Discount_Depth,Net_Price,Core_Item
2019,1,Chefstyle,2 Quart Slow Cooker,2 qt,9.97,,STRAIGHT_PRICE,,,,,,,9.97,
2019,1,Chefstyle,4.5 Quart Slow Cooker,4.5 qt,19.97,,STRAIGHT_PRICE,,,,,,,19.97,
2019,1,Chefstyle,8.5 Quart Texas Size Slow Cooker,8.5 qt,29.97,,STRAIGHT_PRICE,,,,,,,29.97,
2019,1,Chefstyle,Slow Cookers (all sizes),various,,,PERCENT_OFF,Save 20%,YES,,YES,20%,20%,,
2019,1,Ninja,Professional Blender,various,89.99,59,DOLLAR_OFF,Save $30,YES,,YES,30,33%,59,
2019,1,Private Label,Bamboo or Copper Jumbo Body Pillows,various,20,12,DOLLAR_OFF,Save $8,YES,,YES,8,40%,12,
2019,1,Barbie,Select Barbie Dolls,various,19.99,7,STRAIGHT_PRICE,,YES,,YES,,,7,
2019,1,Private Label,Weighted Blankets,various,49.97,39.97,DOLLAR_OFF,Save $10,YES,,YES,10,20%,39.97,
2019,1,Mattel,Phase 10/UNO/UNO Dos Card Games,various,,5,STRAIGHT_PRICE,,YES,,YES,,,5,
2019,1,Licensed,3 Piece Throw & Storage Set,various,,19.97,STRAIGHT_PRICE,,YES,,YES,,,19.97,
2019,1,Licensed,Licensed Rolled Character Slumber Bags,various,,19.97,DOLLAR_OFF,Save $10,YES,,YES,10,34%,19.97,
2019,1,Anker,Anker Art Beauty or Bath & Beauty Kits,various,,10,STRAIGHT_PRICE,,,,,,,10,
2019,1,Hasbro,Select Hasbro Family Games,various,,,PERCENT_OFF,Save 20%,YES,,YES,20%,20%,,
2019,1,Private Label,Novelty Hooded Throws,various,19.97,9.97,DOLLAR_OFF,Save $8,YES,,YES,8,40%,9.97,
2019,2,Private Label,HEB Texas Natural/Butter Basted/Large Seasoned Frozen Whole Turkey,various,,,BUNDLE,Buy turkey get free roasting pan,YES,,YES,7.97,100%,FREE,CORE
2019,2,Chefstyle,Non-stick Large Roasting Pan,various,7.97,0,BUNDLE,Free with turkey purchase,YES,,YES,7.97,100%,0,
2019,2,Private Label,Core Bamboo Turkey Board 3 Piece Carving Set,various,24.97,19.97,DOLLAR_OFF,Save $5,YES,,YES,5,20%,19.97,
2019,2,Chefstyle,Instant Read or Probe Response Thermometer,various,,5.97,STRAIGHT_PRICE,,,,,,,5.97,
2019,2,Taylor,Anti-microbial Rapid Response Thermometer,various,,12.97,DOLLAR_OFF,Save $2,YES,,YES,2,14%,12.97,
2019,2,Chefstyle,Copper Non-stick Roasting Pan with Rack,various,,8.92,STRAIGHT_PRICE,,,,,,,8.92,
2019,2,Chefstyle,"Texas Size 15"" Skillet",15 in,29.97,21.97,DOLLAR_OFF,Save $8,YES,,YES,8,27%,21.97,
2019,2,Proctor Silex,Electric Knife,various,,8.97,DOLLAR_OFF,Save $5,YES,,YES,5,36%,8.97,
2019,2,Chefstyle,14 Quart Roaster Oven with Removable Enamel Insert,14 qt,,21.97,DOLLAR_OFF,Save $8,YES,,YES,8,27%,21.97,
2019,2,Proctor Silex,Appliances (as shown),various,,5.97,DOLLAR_OFF,Save $4,YES,,YES,4,40%,5.97,
2019,2,Oster,Electric Wine Opener,various,19.97,12.97,DOLLAR_OFF,Save $7,YES,,YES,7,35%,12.97,
2019,2,Private Label,HEB Exclusive Fall Tabletop Collection,various,,,PERCENT_OFF,Save 25%,YES,,YES,25%,25%,,
2019,2,Kitchen & Table,Kitchen & Table Textured Bakeware,various,,7.97-12.97,STRAIGHT_PRICE,,,,,,,7.97-12.97,
2019,2,Private Label,Handi-foil Pans,various,,1.59-4.97,STRAIGHT_PRICE,,,,,,,1.59-4.97,
2019,3,Kitchen & Table,Kitchen & Table Vitrified Square Bakeware (Buy 1 Get 1 50% Off),various,9.97-19.97,,BOGO_PERCENT,Buy 1 Get 1 50% Off,YES,,YES,50%,50%,,
2019,3,Private Label,HEB Carver Ham,various,,,BUNDLE,Buy ham get free roasting pan,YES,,YES,7.97,100%,FREE,
2019,3,Kitchen & Table,Borosilicate Glass Roaster,various,7.97,0,BUNDLE,Free with ham purchase,YES,,YES,7.97,100%,0,
2019,3,Private Label,French Fried Onions,2.8 oz,,,BUNDLE,Free with coupons: Hill Country Fare French Style Green Beans/HEB Cut or French Style Green Beans/HEB Condensed Cream of Mushroom Soup,YES,,YES,,100%,0,
2019,3,Private Label,HEB French Fried Onions,2.8 oz,,,BUNDLE,Save up to $4.89,YES,,YES,4.89,,0,
2019,3,Kitchen & Table,"Kitchen & Table 9.5"" Borosilicate Pie Plate",9.5 in,,,BUNDLE,Buy pie plate get free cake mix,YES,,YES,3.28,100%,FREE,
2019,3,Private Label,HEB European Chocolate Cake/Le Brownie or Maple Pecan Cake Mix,17.5 oz-22.5 oz,,,BUNDLE,Free with pie plate purchase,YES,,YES,3.28,100%,0,
2019,3,Kitchen & Table,Kitchen & Table 3.8 or 4.8 Quart Rectangular Bakers,3.8-4.8 qt,,2,STRAIGHT_PRICE,,YES,,YES,,,2,
2019,3,Kitchen & Table,Kitchen & Table Wire Reinforced Rim Bakeware in Copper,various,,12.97,BOGO_PERCENT,Buy 1 Get 1 50% Off,YES,,YES,50%,50%,,
2019,3,Cocinaware,Victoria Caldero Enamleware 16 Quart Steamer with Glass Lid,16 qt,19.97,14.97,DOLLAR_OFF,Save $5,YES,,YES,5,25%,14.97,
