Year,Page,Brand,Product,Size,Base_Price,Promo_Price,Promo_Type,Promo_Details,Digital_Req,Non_Digital_Price,Member_Req,Savings,Discount_Depth,Net_Price,Core_Item
2019,1,Private Label,Publix Young Turkey,10 to 24-lb,,0.39/lb,STRAIGHT_PRICE,Broad-Breasted USDA Grade A Frozen,NO,,NO,1.10/lb,,0.39/lb,YES
2019,1,Chateau Ste. Michelle,Indian Wells Wine,750-mL,,17.39,STRAIGHT_PRICE,Chardonnay,NO,,NO,3.00,,17.39,NO
2019,1,Private Label,Publix Bakery Dinner Rolls,12-ct,,1.99,STRAIGHT_PRICE,Or Potato Rolls 12 or 15-oz,NO,,NO,1.00,,1.99,NO
2019,1,Private Label,Publix Cranberry-Orange Relish,16-oz,,3.79,STRAIGHT_PRICE,Limited Time Only,NO,,NO,,,3.79,NO
2019,1,Private Label,Publix Premium Floral Bouquet,20-stems,,14.99,STRAIGHT_PRICE,Several Fall Colors,NO,,NO,,,14.99,NO
2019,3,Private Label,Publix Gold Potatoes,5-lb bag,,3.49,STRAIGHT_PRICE,,NO,,NO,1.50,,3.49,YES
2019,3,Private Label,Publix Whole Carrots,1-lb bag,,0.89,STRAIGHT_PRICE,,NO,,NO,,,0.89,NO
2019,3,Eat Smart,Vegetables,10 or 12-oz,,3.33,MULTIBUY,3 for $10,NO,,NO,,,3.33,NO
2019,3,Progresso,Bread Crumbs,15-oz,,BOGO,BOGO_FREE,Buy 1 Get 1 Free Italian or Plain,NO,,NO,2.49,,BOGO,NO
2019,3,Better Than Bouillon,Bouillon Base,8-oz jar,,3.99,STRAIGHT_PRICE,,NO,,NO,1.00,,3.99,NO
2019,3,Boursin,Gournay Cheese,5 to 6.5-oz,,BOGO,BOGO_FREE,Buy 1 Get 1 Free,NO,,NO,5.99,,BOGO,NO
2019,4,Kim Crawford,Sauvignon Blanc Wine,750-mL,,15.69,STRAIGHT_PRICE,Or Rosé,NO,,NO,2.70,,15.69,NO
2019,4,Decoy,Pinot Noir Wine,750-mL,,19.59,STRAIGHT_PRICE,,NO,,NO,,,19.59,NO
2019,4,Sonoma-Cutrer,Sonoma Coast Chardonnay Wine,750-mL,,22.59,STRAIGHT_PRICE,Or Russian River Valley Rosé,NO,,NO,4.00,,22.59,NO
2019,4,Stella Artois,Premium Lager,12-pk 11.2-oz,,14.89,STRAIGHT_PRICE,Or Best of Belgium Sampler,NO,,NO,0.99,,14.89,NO
2019,4,Private Label,Publix Deli Hoop Cheddar Cheese,per lb,,7.99/lb,STRAIGHT_PRICE,,NO,,NO,,,7.99/lb,NO
2019,4,Private Label,Publix Deli Swiss Gruyère Cheese,per lb,,15.49/lb,STRAIGHT_PRICE,Imported From Switzerland,NO,,NO,,,15.49/lb,NO
