Year,Page,Brand,Product,Size,Base_Price,Promo_Price,Promo_Type,Promo_Details,Digital_Req,Non_Digital_Price,Member_Req,Savings,Discount_Depth,Net_Price,Core_Item
2019,1,Honeysuckle White,Fresh Turkey,10-22 lb,,$0.99/lb,STRAIGHT_PRICE,Club Price,NO,,YES,,,0.99,YES
2019,1,Signature Farms,Turkey Frozen,10-15.5 lb,,$5.99/ea,STRAIGHT_PRICE,Club Price Limit 1 w $25 min,NO,,YES,,,5.99,YES
2019,1,Signature Farms,Turkey Frozen,16.01-22 lb,,$7.99/ea,STRAIGHT_PRICE,Club Price,NO,,YES,,,7.99,YES
2019,1,USDA Choice,Boneless Beef NY Strip Roast,,,$6.99/lb,STRAIGHT_PRICE,Club Price,NO,,YES,,,6.99,NO
2019,1,Cuties,Clementines,3 lb,,$2.97/ea,STRAIGHT_PRICE,Club Price Limit 4,NO,,YES,,,2.97,NO
2019,1,Private Label,Green Asparagus,,,$1.88/lb,STRAIGHT_PRICE,Club Price,NO,,YES,,,1.88,NO
2019,1,Philadelphia,Brick Cream Cheese,8 oz,,B1G2 Free,BOGO_FREE,Club Price,NO,,YES,,,varies,YES
2019,1,Nabisco,Ritz Crackers,6-13.7 oz,,B1G1 Free,BOGO_FREE,Club Price,NO,,YES,,,varies,NO
2019,1,Haagen-Dazs,Ice Cream,14 oz,,B1G1 Free,BOGO_FREE,Club Price,NO,,YES,,,varies,NO
2019,1,Starbucks,Coffee,12 oz/10 ct K-Cup,,$5.99/ea,MIX_MATCH,When Buy 4,NO,,YES,,,5.99,NO
2019,1,Private Label,Fresh Baked Pumpkin Pie,11 inch,,$8.99/ea,STRAIGHT_PRICE,Every Day,NO,,NO,,,8.99,NO
2019,1,Corona/Sierra Nevada/Angry Orchard/Truly/Stella,Beer,12 pk,,$11.99/ea,MULTIBUY,When Buy 2,NO,,YES,,,11.99,NO
2019,1,Dreyers,Ice Cream,1.5 qt,,B1G1 Free,BOGO_FREE,Club Price,NO,,YES,,,varies,NO
2019,2,Foster Farms,Turkey,10-22 lb,,$1.99/lb,STRAIGHT_PRICE,Club Price,NO,,YES,,,1.99,YES
2019,2,Butterball,Fresh Turkey,10-22 lb,,$2.19/lb,STRAIGHT_PRICE,Club Price,NO,,YES,,,2.19,YES
2019,2,Signature SELECT,Classic Ham Bone-In Shank,,,$1.99/lb,STRAIGHT_PRICE,Club Price,NO,,YES,,,1.99,NO
2019,2,Signature SELECT,Spiral Sliced Ham,,,$2.49/lb,STRAIGHT_PRICE,Club Price,NO,,YES,,,2.49,NO
2019,2,Hormel,Always Tender Marinated Pork,1.15-1.5 lb,,$6.99/ea,STRAIGHT_PRICE,Club Price,NO,,YES,,,6.99,NO
2019,2,USDA Choice,Chuck Cross Rib Roast,,,$4.99/lb,STRAIGHT_PRICE,Club Price,NO,,YES,,,4.99,NO
2019,2,USDA Choice,Beef Ribeye Roast Bone-In,,,$8.99/lb,STRAIGHT_PRICE,Club Price,NO,,YES,,,8.99,NO
2019,2,Open Nature,Boneless Pork Top Loin Roast,,,$2.99/lb,STRAIGHT_PRICE,Club Price,NO,,YES,,,2.99,NO
2019,2,Private Label,Fresh Atlantic Salmon,7 oz,,$5.99/ea,STRAIGHT_PRICE,Club Price,NO,,YES,,,5.99,NO
2019,2,Private Label,Fresh Petrale Sole Fillets,,,$12.99/lb,STRAIGHT_PRICE,Club Price,NO,,YES,,,12.99,NO
2019,2,Van de Kamp's,Seafood Selections,15.1-24.6 oz,,B1G1 Free,BOGO_FREE,Club Price,NO,,YES,,,varies,NO
2019,2,Sea Cuisine,Selections,9-10.75 oz,,$7.99/ea,STRAIGHT_PRICE,Club Price,NO,,YES,,,7.99,NO
2019,2,Private Label,Jumbo Cooked Shrimp,21-25 ct,,$8.99/lb,STRAIGHT_PRICE,Club Price,NO,,YES,,,8.99,NO
2019,2,Private Label,Dungeness Crab Sections,,,$8.99/lb,STRAIGHT_PRICE,Club Price,NO,,YES,,,8.99,NO
2019,2,Waterfront Bistro,Shrimp Ring,4 oz,,$3.99/ea,STRAIGHT_PRICE,Club Price,NO,,YES,,,3.99,NO
2019,2,Waterfront Bistro,Smoked Salmon,4 oz,,$8.99/ea,STRAIGHT_PRICE,Club Price,NO,,YES,,,8.99,NO
2019,2,Signature Kitchen's,Meatballs,20-24 oz,$3.50,2/$7,MULTIBUY,Club Price,NO,,YES,,,3.50,NO
2019,2,Bob Evans,Side Dishes,20-24 oz,,$2.99/ea,STRAIGHT_PRICE,Club Price,NO,,YES,,,2.99,NO
2019,2,Oscar Mayer,Deli Shaved Lunchmeat,7-9 oz,,$3.99/ea,STRAIGHT_PRICE,Club Price,NO,,YES,,,3.99,NO
2019,2,Oscar Mayer,Carving Board Lunchmeat,7.5 oz,,$3.99/ea,STRAIGHT_PRICE,Club Price,NO,,YES,,,3.99,NO
2019,2,Open Nature,Meatballs/Sausage,12-14 oz,$3.99,2/$8,MULTIBUY,When Buy 2,NO,,YES,,,4.00,NO
2019,2,Johnsonville,Ground Sausage,16 oz,,$2.99/ea,STRAIGHT_PRICE,Club Price,NO,,YES,,,2.99,NO
2019,2,Johnsonville,Breakfast Sausage,9-12 oz,,$2.99/ea,STRAIGHT_PRICE,Club Price,NO,,YES,,,2.99,NO
2019,2,Oscar Mayer,Bacon,12-16 oz,,B1G1 Free,BOGO_FREE,Club Price,NO,,YES,,,varies,NO
2019,3,Jennie-O,Oven Ready Homestyle Turkey,12 lb,,$29.99/ea,STRAIGHT_PRICE,Low Price Every Day,NO,,NO,,,29.99,YES
2019,3,Farmers,Double Smoked Bacon,,,$4.99/lb,STRAIGHT_PRICE,Butcher Block,NO,,NO,,,4.99,NO
2019,3,Smithfield,Spiral Sliced Ham w Glaze,,,$3.99/lb,STRAIGHT_PRICE,Every Day,NO,,NO,,,3.99,NO
2019,3,Hillshire Farm,Lit'l Smokies,12-14 oz,$2.50,2/$5,MULTIBUY,Club Price,NO,,YES,,,2.50,NO
2019,3,Hillshire Farm,Sausage,13-14 oz,$2.50,2/$5,MULTIBUY,Club Price,NO,,YES,,,2.50,NO
2019,3,King's Hawaiian,Rolls,12 ct,$3.50,2/$7,MULTIBUY,Club Price,NO,,YES,,,3.50,NO
2019,3,Hormel,Party Trays,28 oz,,$8.99/ea,STRAIGHT_PRICE,Club Price,NO,,YES,,,8.99,NO
2019,3,Signature Kitchens,Chicken Nuggets,48 oz,$4.50,2/$9,MULTIBUY,Club Price,NO,,YES,,,4.50,NO
2019,3,Boar's Head,Sweet Slice Holiday Ham Gift Box,,,$39.99/ea,STRAIGHT_PRICE,,NO,,NO,,,39.99,NO
2019,3,Private Label,Traditional Turkey Dinner,Serves 6-8,,$49.99/ea,BUNDLE,Turkey+Stuffing+Potatoes+Cranberry+Gravy,NO,,NO,,,49.99,NO
2019,3,Private Label,Spiral Ham Dinner,Serves 8-10,,$54.99/ea,BUNDLE,Ham+Scalloped+Sweet Potatoes+Green Bean+Apples,NO,,NO,,,54.99,NO
2019,3,Private Label,Prime Rib Dinner,Serves 5-6,,$69.99/ea,BUNDLE,Prime Rib+Scalloped+Sweet Potatoes+Green Bean+Apples,NO,,NO,,,69.99,NO
2019,3,Signature Cafe,Cranberry Sauce/Spiced Apples,14-16 oz,,$5.99/ea,STRAIGHT_PRICE,Every Day,NO,,NO,,,5.99,NO
2019,3,Signature Cafe,Holiday Sides,24-32 oz,,$7.99/ea,STRAIGHT_PRICE,Every Day,NO,,NO,,,7.99,NO
2019,3,Private Label,Large Gold Pineapple,,,$3.99/ea,STRAIGHT_PRICE,Every Day,NO,,NO,,,3.99,NO
2019,3,POM Wonderful,Large Pomegranates,$3.00,2/$6,MULTIBUY,Every Day,NO,,NO,,,3.00,NO
2019,3,Private Label,Radishes/Green Onions,,,$0.99/ea,STRAIGHT_PRICE,Every Day,NO,,NO,,,0.99,NO
2019,3,Signature Farms,Cranberries,32 oz,,$5.00/ea,STRAIGHT_PRICE,Every Day,NO,,NO,,,5.00,NO
2019,3,Signature SELECT,Traditional Stuffing Mix,12 oz,,$2.99/ea,STRAIGHT_PRICE,Club Price,NO,,YES,,,2.99,NO
2019,3,Jessie Lord,Baked Pies,8 inch,,$5.99/ea,STRAIGHT_PRICE,Every Day,NO,,NO,,,5.99,NO
2019,3,Private Label,Fresh Baked Dinner Rolls,20 ct,,$5.00/ea,STRAIGHT_PRICE,,NO,,NO,,,5.00,NO
2019,3,Private Label,Fresh Baked Butterflake Rolls,10-12 ct,$3.00,2/$6,MULTIBUY,Club Price,NO,,YES,,,3.00,NO
2019,3,Woodbridge/Apothic,Wine,750ml-1.5L,$13.99,$6.99/ea,MULTIBUY,When Buy 2,NO,,YES,50%,,6.99,NO
2019,3,De Loach,Wine,750 ml,$11.99,$5.99/ea,MULTIBUY,When Buy 2,NO,,YES,50%,,5.99,NO
2019,3,Jack Daniel's,Whiskey,750 ml,$24.99,$12.49/ea,MULTIBUY,When Buy 2,NO,,YES,50%,,12.49,NO
2019,3,Crown Royal,Whiskey,750 ml,$14.99,$7.49/ea,MULTIBUY,When Buy 2,NO,,YES,50%,,7.49,NO
2019,4,Gold Medal,Flour,5 lb,,$1.99/ea,MIX_MATCH,Buy 4 Red Tags,NO,,YES,,,1.99,NO
2019,4,C&H,Sugar,4 lb,,$1.99/ea,MIX_MATCH,Buy 4 Red Tags,NO,,YES,,,1.99,NO
2019,4,Hershey's,Baking Chips,8-12 oz,,$2.49/ea,MIX_MATCH,Buy 4 Red Tags,NO,,YES,,,2.49,NO
2019,4,O Organics,Broth,32 oz,,$1.99/ea,MIX_MATCH,Buy 4 Red Tags,NO,,YES,,,1.99,NO
