Year,Page,Brand,Product,Size,Base_Price,Promo_Price,Promo_Type,Promo_Details,Digital_Req,Non_Digital_Price,Member_Req,Savings,Discount_Depth,Net_Price,Core_Item
2019,1,Sprouts,Fresh Free-Range Organic Turkeys,per lb,,2.99,STRAIGHT_PRICE,Limit 4 per customer while supplies last,NO,,NO,,,2.99,YES
2019,1,Organic,Gala Fuji or Granny Smith Apples,2 lb bag,,2.50,MULTIBUY,2 for $5,NO,,NO,,,2.50,NO
2019,1,Sprouts,Organic Herb Seasoned Stuffing,10 oz,,2.50,MULTIBUY,2 for $5,NO,,NO,,,2.50,YES
2019,1,Sprouts,Organic Mashed Potatoes or Gravy,3.5-17.6 oz,,BOGO FREE,BOGO_FREE,Buy 1 Get 1 FREE of equal or lesser value - Save up to $3.29,NO,,NO,,50%,,YES
2019,1,Sprouts,Organic Bulk Coffee,per lb,,7.99,STRAIGHT_PRICE,,NO,,NO,,,7.99,NO
2019,1,Farmer's Market,Organic Pumpkin,15 oz,,1.99,STRAIGHT_PRICE,,NO,,NO,,,1.99,NO
2019,1,Immaculate Baking Co.,Biscuits/Rolls,8-17.5 oz,,3.00,MULTIBUY,2 for $6,NO,,NO,,,3.00,YES
2019,1,Sprouts,Organic Frozen Vegetables,16 oz,,2.00,MULTIBUY,2 for $4,NO,,NO,,,2.00,NO
2019,1,Horizon,Organic Half and Half or Heavy Whipping Cream,16-32 fl oz,,2.99,STRAIGHT_PRICE,,NO,,NO,,,2.99,NO
2019,1,Horizon,Organic Butter,select varieties,,4.99,STRAIGHT_PRICE,,NO,,NO,,,4.99,NO
2019,1,Sprouts,Organic Frozen Fruit,10 oz,,3.00,MULTIBUY,2 for $6,NO,,NO,,,3.00,NO
2019,1,Sprouts,Organic Cranberry Sauce,14 oz,,1.50,MULTIBUY,2 for $3,NO,,NO,,,1.50,YES
2019,1,Nature's Pride,Organic Cut Sweet Potatoes,15 oz,,1.33,MULTIBUY,3 for $4,NO,,NO,,,1.33,NO
2019,2,Wild Jumbo Raw,Gulf Shrimp,16/20 ct per lb,,8.99,STRAIGHT_PRICE,Previously frozen,NO,,NO,,,8.99,NO
2019,2,Alden's,Organic Ice Cream,1.5 qt,,4.99,STRAIGHT_PRICE,,NO,,NO,,,4.99,NO
2019,2,Blueberries Raspberries or Blackberries,Berries,5.6-6 oz,,1.67,MULTIBUY,3 for $5,NO,,NO,,,1.67,NO
2019,2,Red Garnet or Jewel,Yams,per lb,,0.68,STRAIGHT_PRICE,,NO,,NO,,,0.68,NO
2019,2,Hass Avocados or On-the-Vine,Cluster Tomatoes,each/per lb,,0.88,STRAIGHT_PRICE,,NO,,NO,,,0.88,NO
2019,2,Red or Black,Seedless Grapes,per lb,,0.98,STRAIGHT_PRICE,,NO,,NO,,,0.98,NO
2019,2,Honeycrisp or Granny Smith,Apples,per lb,,0.88,STRAIGHT_PRICE,,NO,,NO,,,0.88,NO
2019,2,Organic,Green Beans or Brussels Sprouts,per lb,,1.48,STRAIGHT_PRICE,,NO,,NO,,,1.48,NO
