Year,Page,Brand,Product,Size,Base_Price,Promo_Price,Promo_Type,Promo_Details,Digital_Req,Non_Digital_Price,Member_Req,Savings,Discount_Depth,Net_Price,Core_Item
2019,Cover,Nature's Promise,Fresh Turkey,12-14 lb avg,,,STRAIGHT_PRICE,With $25 purchase limit 2,NO,,YES,,,$0.88/lb,CORE_ITEM
2019,Cover,Butterball,Fresh Turkey,Grade A 10-26 lb avg,,,STRAIGHT_PRICE,With $25 purchase limit 2,NO,,YES,,,$1.49/lb,CORE_ITEM
2019,Cover,Private Label,Frozen Turkey,Grade A 10-26 lb avg,,,STRAIGHT_PRICE,,NO,,YES,,,$0.39/lb,CORE_ITEM
2019,Cover,Private Label,Smoked Ham Shank Portion,,,STRAIGHT_PRICE,,NO,,YES,,,$0.89/lb,
2019,Cover,Butterball,Frozen Turkey,Grade A 10-24 lb avg,,,STRAIGHT_PRICE,,NO,,YES,,,$0.99/lb,CORE_ITEM
2019,Cover,Private Label,Ham Butt Portion,,,STRAIGHT_PRICE,,NO,,YES,,,$0.99/lb,
2019,Cover,Private Label,Green Beans,14.5 oz,,,$5.00,Limit 5,NO,,YES,,,$5.00,
2019,Cover,College Inn,Broth Chicken or Beef,32 oz,,$1.88,STRAIGHT_PRICE,,NO,,YES,,,$1.88,
2019,Cover,Private Label,Dinner Rolls,12 ct,,$2.00,MULTIBUY,2 for $4,NO,,YES,,,$2.00,
2019,Cover,Green Giant,Canned Vegetables,11-15.25 oz,,$1.00,MULTIBUY,5 for $5,NO,,YES,,,$1.00,
2019,Cover,Private Label,Canned Vegetables,multiple varieties,,$1.00,MULTIBUY,5 for $5,NO,,YES,,,$1.00,
2019,Cover,Coca-Cola,2 Liter Vitaminwater or Smartwater,2L or 6 pk,,,$0.88/ea,Limit 2 offers per household,NO,,YES,,,$0.88,
2019,Cover,Ritz,Crackers,13.7 oz,,$1.88,STRAIGHT_PRICE,,NO,,YES,,,$1.88,
