Year,Page,Brand,Product,Size,Base_Price,Promo_Price,Promo_Type,Promo_Details,Digital_Req,Non_Digital_Price,Member_Req,Savings,Discount_Depth,Net_Price,Core_Item
2025,1,Private Label,Grade A Frozen Turkey,10 lbs and up,,$0.49/lb,SPEND_GET,When spend $20 or more Limit 1 Excl Butterball,NO,,YES,,,0.49,YES
2025,1,Butterball,Grade A Frozen Turkey,10 lbs and up,,$0.99/lb,STRAIGHT_PRICE,Limit 1 While supplies last,NO,,YES,,,0.99,YES
2025,1,Smithfield,Shank Portion Smoked Ham,,,$1.49/lb,STRAIGHT_PRICE,Butt Portion $1.59/lb Limit 2,NO,,YES,,,1.49,NO
2025,1,Louis Jadot,Beaujolais-Villages,750 ml,,$10.99/ea,STRAIGHT_PRICE,Save up to $4,NO,,YES,,,10.99,NO
2025,1,Private Label,Snow Crab Clusters,Wild caught Frozen,,$12.99/lb,STRAIGHT_PRICE,Save up to $9/lb,NO,,YES,,,12.99,NO
2025,1,Private Label,Sweet Potatoes,,,$0.47/lb,STRAIGHT_PRICE,Save up to $1.02/lb,NO,,YES,,,0.47,NO
2025,1,SE Grocers,Yellow Onions or Russet/Red Potatoes,3 lb/5 lb bag,,BOGO,BOGO_FREE,Save up to $7.69 on 2,NO,,YES,,,varies,YES
2025,1,Private Label,Macarons or Prestige Cheesecake,12 ct,,BOGO,BOGO_FREE,Save up to $16.99 on 2,NO,,YES,,,varies,NO
2025,1,Private Label,USDA Choice Beef Top Sirloin Steak,,,$9.99/lb,STRAIGHT_PRICE,,NO,,YES,,,9.99,NO
2025,1,Daisy,Sour Cream,16 oz,,BOGO,BOGO_FREE,Mix & match Save up to $4.69 on 2,NO,,YES,,,varies,NO
2025,1,Philadelphia,Cream Cheese Brick,8 oz,,BOGO,BOGO_FREE,Mix & match Save up to $4.69 on 2,NO,,YES,,,varies,YES
2025,1,Kraft,Shredded or Chunk Cheese,6-8 oz,,BOGO,BOGO_FREE,Mix & match Save up to $4.69 on 2,NO,,YES,,,varies,NO
2025,1,Campbell's,Cream of Mushroom/Chicken Soup,10.5 oz,,BOGO,BOGO_FREE,Mix & match Save up to $10.49 on 2,NO,,YES,,,varies,YES
2025,1,Libby's,Canned Vegetables,14.5-15 oz,,BOGO,BOGO_FREE,Mix & match Save up to $10.49 on 2,NO,,YES,,,varies,NO
2025,1,Swanson,Broth or Stock,14-32 oz,,BOGO,BOGO_FREE,Mix & match Save up to $10.49 on 2,NO,,YES,,,varies,YES
2025,1,McCormick,Red Cap Spices,0.12-5.12 oz,,BOGO,BOGO_FREE,Mix & match Save up to $10.49 on 2,NO,,YES,,,varies,NO
2025,1,Breyers,Ice Cream/Frozen Dairy Dessert,48 oz,,BOGO,BOGO_FREE,Mix & match Save up to $8.99 on 2,NO,,YES,,,varies,NO
2025,1,Mrs. Smith's/Edward's,Pies,24-37 oz,,BOGO,BOGO_FREE,Mix & match Save up to $8.99 on 2,NO,,YES,,,varies,NO
2025,1,Hellmann's,Mayonnaise,30 oz,,BOGO,BOGO_FREE,Mix & match Save up to $9.88 on 2,NO,,YES,,,varies,NO
2025,1,Heinz,Ketchup,32 oz,,BOGO,BOGO_FREE,Mix & match Save up to $9.88 on 2,NO,,YES,,,varies,NO
2025,1,Mt. Olive,Pickles,24 oz,,BOGO,BOGO_FREE,Mix & match Save up to $9.88 on 2,NO,,YES,,,varies,NO
2025,1,Kraft,Salad Dressing,14-16 oz,,BOGO,BOGO_FREE,Mix & match Save up to $9.88 on 2,NO,,YES,,,varies,NO
2025,1,Coca-Cola/Sprite/7UP,Soda,12 pk 12 oz,,$9.99,MULTIBUY,Buy 2 Get 2 FREE Limit 2 deals,NO,,YES,,,varies,NO
2025,1,Birds Eye,Steamfresh Vegetables,9.3-16 oz,,BOGO,BOGO_FREE,Mix & match Save up to $5.79 on 2,NO,,YES,,,varies,NO
2025,1,McKenzie's,Club Corn,16-20 oz,,BOGO,BOGO_FREE,Mix & match Save up to $5.79 on 2,NO,,YES,,,varies,NO
2025,1,Ocean Spray,Cocktails,64 oz,,BOGO,BOGO_FREE,Mix & match Save up to $7.49 on 2,NO,,YES,,,varies,NO
2025,1,Thomas',Bagels,10-22 oz,,BOGO,BOGO_FREE,Mix & match Save up to $7.49 on 2,NO,,YES,,,varies,NO
2025,1,Sara Lee,Rolls/Bread,15-18 oz,,BOGO,BOGO_FREE,Mix & match Save up to $7.49 on 2,NO,,YES,,,varies,NO
2025,1,Cheez-It,Crackers,8-12.4 oz,,BOGO,BOGO_FREE,Mix & match Save up to $5.29 on 2,NO,,YES,,,varies,NO
2025,1,Lay's,Potato Chips,5-8 oz,,BOGO,BOGO_FREE,Mix & match Save up to $5.29 on 2,NO,,YES,,,varies,NO
2025,1,Kellogg's,Town House/Club Crackers,7.1-13.7 oz,,BOGO,BOGO_FREE,Mix & match Save up to $5.29 on 2,NO,,YES,,,varies,NO
2025,1,Michelob Ultra,Beer,24 pk 12 oz,,$24.99,STRAIGHT_PRICE,Save up to $14 Plus $5 kiosk rebate,NO,,YES,,,24.99,NO
2025,1,Budweiser/Bud Light,Beer,16 oz cans,,$24.99,STRAIGHT_PRICE,Save up to $14,NO,,YES,,,24.99,NO
2025,1,Private Label,USDA Choice Top Round London Broil/Roast,,,$7.99/lb,STRAIGHT_PRICE,Limit 2 Rest of week $8.99/lb,NO,,YES,,,7.99,NO
2025,1,Private Label,Bone-In T-Bone Steak Value Pack,,,$6.99/lb,STRAIGHT_PRICE,Not USDA Graded Imported,NO,,YES,,,6.99,NO
2025,1,Jimmy Dean,Sausage Roll,16 oz,,$3.33/ea,MULTIBUY,3 for $10 Mix & match,NO,,YES,,,3.33,NO
2025,1,Private Label,Honeycrisp/Granny Smith Apples/Bartlett Pears,,,$1.29/lb,STRAIGHT_PRICE,Save up to $2.20/lb,NO,,YES,,,1.29,NO
2025,1,Land O Lakes,Butter Sticks,16 oz,,BOGO,BOGO_FREE,Mix & match Save up to $6.99 on 2,NO,,YES,,,varies,NO
2025,1,Pillsbury,Frozen Pie Crusts,2 ct,,BOGO,BOGO_FREE,Mix & match Save up to $6.99 on 2,NO,,YES,,,varies,YES
2025,1,Crisco,Vegetable or Canola Oil,40 oz,,$2.99/ea,STRAIGHT_PRICE,Limit 4 Save up to $2.50,NO,,YES,,,2.99,NO
2025,1,Dixie Crystals,Sugar,4 lb,,$2.99/ea,STRAIGHT_PRICE,Limit 4 Save up to $2.50,NO,,YES,,,2.99,NO
2025,1,Chek,Soda,2 L,,$0.88/ea,STRAIGHT_PRICE,Save up to $1.61,NO,,YES,,,0.88,NO
2025,3,Private Label,8 Inch Fruit Pie,Including sweet potato & pumpkin,,$3.99/ea,STRAIGHT_PRICE,Save up to $3.70,NO,,YES,,,3.99,NO
