Year,Page,Brand,Product,Size,Base_Price,Promo_Price,Promo_Type,Promo_Details,Digital_Req,Non_Digital_Price,Member_Req,Savings,Discount_Depth,Net_Price,Core_Item
2019,1,Private Selection,Cheesecake,40oz,,9.99,DIGITAL_ONLY,With Card & Digital Coupon,YES,,YES,,,$9.99,
2019,1,Candle-Lite,Candle,18oz,,2.99,DIGITAL_ONLY,With Card & Digital Coupon,YES,8.99,YES,,,$2.99,
2019,1,Basic Essentials,Turkey Carving Set,5 piece,,19.99,DIGITAL_ONLY,With Card & Digital Coupon,YES,19.99,YES,,,$19.99,
2019,1,Clever Kids,Games and Puzzles,Select Varieties,,4.99,DIGITAL_ONLY,With Card & Digital Coupon,YES,,YES,,,$4.99,
2019,2,Good Cook,Roaster,17" Select Varieties,,14.99,STRAIGHT_PRICE,With Card,NO,,YES,,,$14.99,
2019,2,Crock-Pot,5-Quart Manual Slow Cooker with Bonus 1-Quart Little Dipper,SCR503-SP-SL,,29.99,STRAIGHT_PRICE,With Card,NO,,YES,,,$29.99,
2019,2,Open Stock,Pyrex Bakeware,Select Varieties,,SAVE 25%,PERCENT_OFF,Small Tag Reflects Savings With Card,NO,,YES,25%,,$0.00,
2019,2,Good Cook,Cookware,Select Varieties Shown Was $11.50,,SAVE 25%,PERCENT_OFF,Small Tag Reflects Savings With Card,NO,,YES,25%,,$0.00,
2019,2,Everyday Living,Kitchen Gadgets,Select Varieties,,SAVE 25%,PERCENT_OFF,Small Tag Reflects Savings With Card,NO,,YES,25%,,$0.00,
2019,2,Gallery,40-Piece Dinnerware Set,Service for 8,,24.99,STRAIGHT_PRICE,With Card,NO,,YES,,,$24.99,
2019,2,Keurig,K-Classic Brewer,,,69.99,STRAIGHT_PRICE,With Card,NO,,YES,,,$69.99,
2019,2,Libman,Apple Broom,High Power,,9.99,STRAIGHT_PRICE,With Card,NO,,YES,,,$9.99,
2019,2,Candle Lite,Tealights,,,SAVE 20%,PERCENT_OFF,Small Tag Reflects Savings With Card,NO,,YES,20%,,$0.00,
2019,2,Philips,Spot & Flood Light Bulbs,,,SAVE 15%,PERCENT_OFF,Small Tag Reflects Savings With Card,NO,,YES,15%,,$0.00,
2019,2,Everyday Living,Light Bulbs,,,SAVE 10%,PERCENT_OFF,Small Tag Reflects Savings With Card,NO,,YES,10%,,$0.00,
