Year,Page,Brand,Product,Size,Base_Price,Promo_Price,Promo_Type,Promo_Details,Digital_Req,Non_Digital_Price,Member_Req,Savings,Discount_Depth,Net_Price,Core_Item
2020,14,Private Label,Russet Potatoes,10 lb bag,,1.77,STRAIGHT_PRICE,sale,NO,,NO,,,$1.77,YES
2020,14,Private Label,Sweet Potatoes,bulk,,0.29/lb,STRAIGHT_PRICE,sale,NO,,NO,,,$0.29/lb,
2020,14,Cook's,Spiral Sliced Half Ham,natural juice,,1.59/lb,STRAIGHT_PRICE,sale limit 1,NO,,NO,,,$1.59/lb,
2020,14,Private Label,Meijer Frozen Grade A Turkey,,,0.31/lb,DIGITAL_ONLY,final price with mPerks -$0.08/lb,YES,0.39/lb,YES,,,$0.31/lb,YES
2020,14,Private Label,Meijer Fresh Grade A Turkey,,,0.99/lb,STRAIGHT_PRICE,sale limit 1,NO,,NO,,,$0.99/lb,YES
2020,14,Private Label,Family Pack Chicken Drumsticks Thighs or Split Chicken Breasts,fresh,,0.99/lb,STRAIGHT_PRICE,sale,NO,,NO,,,$0.99/lb,
2020,14,Private Label,9" Pumpkin or Sweet Potato Pie,31.7 oz Bakery Dept,,4.99,STRAIGHT_PRICE,sale,NO,,NO,,,$4.99,
2020,14,Private Label,Sweet Seedless Mandarins,3 lb bag,,1.99,STRAIGHT_PRICE,sale,NO,,NO,,,$1.99,
2020,14,Private Label,Vegetable Trays,20-49 oz,,BOGO 50%,BOGO_PERCENT,BOGO 50% off,NO,,NO,50%,,$0.00,
2020,14,Private Label,Fruit Palooza Fruit Tray with Dip or Triple Treat & Melon,,,BOGO 50%,BOGO_PERCENT,BOGO 50% off,NO,,NO,50%,,$0.00,
2020,14,Private Label,Deli Specialty Cheese,1.5-16 oz,,BOGO 50%,BOGO_PERCENT,BOGO 50% off excludes cut to order grab & go and pre-sliced packages,NO,,NO,50%,,$0.00,
2020,14,Oscar Mayer,Bacon or Deli Fresh Lunchmeat,2.52-22 oz,,BOGO 50%,BOGO_PERCENT,BOGO 50% off of equal or lesser value,NO,,NO,50%,,$0.00,
2020,14,Folgers,Ground Coffee,20.6-30.5 oz,,5.99,STRAIGHT_PRICE,sale,NO,,NO,,,$5.99,
2020,14,Starbucks,Coffee K-Cups,10 ct,,5.99,STRAIGHT_PRICE,sale,NO,,NO,,,$5.99,
2020,14,Dunkin Donuts,Coffee K-Cups,12 ct,,5.99,STRAIGHT_PRICE,sale,NO,,NO,,,$5.99,
2020,14,Coca-Cola,Coca-Cola Products,24 pk/12 oz cans,,5.99,STRAIGHT_PRICE,sale,NO,,NO,,,$5.99,
2020,14,Pepsi,Pepsi Products,24 pk/12 oz cans,,5.99,STRAIGHT_PRICE,sale,NO,,NO,,,$5.99,
2020,14,Ice Mountain,Spring Water,24 pk/16.9 oz bottles,,3/$10,MULTIBUY,sale,NO,,NO,,,$3.33,
2020,14,Nabisco,Family Size Oreo Cookies or Family Size Crackers,12.2-20 oz or 10-20.6 oz,,2/$6,MULTIBUY,sale,NO,,NO,,,$3.00,
2020,14,Kraft,Philadelphia Cream Cheese,8 oz brick,,3/$5,MULTIBUY,sale original or 1/3 less fat,NO,,NO,,,$1.67,YES
2020,14,Breyers,Ben & Jerry's Ice Cream,16 oz,,3,STRAIGHT_PRICE,sale,NO,,NO,,,$3.00,
2020,14,Stouffer's,Lean Cuisine Frozen Meals,5.25-11.5 oz,,5/$10,MULTIBUY,sale,NO,,NO,,,$2.00,
2020,14,Bud Miller Coors,Bud Miller or Coors,24 pk/12 oz cans,,16.49,STRAIGHT_PRICE,sale,NO,,NO,,,$16.49,
2020,14,Smirnoff,Smirnoff or TRULY Seltzer,12 pk cans,,13.99,STRAIGHT_PRICE,sale,NO,,NO,,,$13.99,
2020,14,Pepperidge Farm,Brownberry Stuffing,12 oz,,2/$5,MULTIBUY,sale,NO,,NO,,,$2.50,
2020,14,Tide,Liquid Laundry Detergent,69 oz,10.99,6.99,DIGITAL_ONLY,final price with mPerks -$2,YES,8.99,YES,$2.00,,$6.99,
2020,14,Private Label,Meijer Disposable Plates and Bowls,,,10%,PERCENT_OFF,sale 10% off,NO,,NO,10%,,$0.00,
2020,14,Betty Crocker,Pouch Cookies No Bake Bites Brittle or Delights Brownie Mix,8.6-19.1 oz,,BOGO FREE,BOGO_FREE,buy 2 get 1 FREE of equal or lesser value,NO,,NO,,,$0.00,
2020,14,Gold Medal,All Purpose Flour,5 lbs,,BOGO FREE,BOGO_FREE,buy 2 get 1 FREE of equal or lesser value,NO,,NO,,,$0.00,
2020,13,Butterball,Grade A Frozen Turkey,limit 1,,0.99/lb,STRAIGHT_PRICE,sale,NO,,NO,,,$0.99/lb,YES
2020,13,Butterball,Fresh Grade A Turkey,10-22 lbs,,1.49/lb,STRAIGHT_PRICE,sale limit 1,NO,,NO,,,$1.49/lb,YES
2020,13,Honeysuckle,Frozen Grade A Turkey,limit 1,,0.79/lb,BOGO_FREE,BOGO FREE all natural pork,NO,,NO,,,$0.79/lb,YES
2020,13,Cook's,Shank Portion Ham,ham and water product,,1.49/lb,STRAIGHT_PRICE,sale,NO,,NO,,,$1.49/lb,
2020,13,Meijer or Sugardale,Whole Boneless Ham,water added,,1.99/lb,STRAIGHT_PRICE,sale,NO,,NO,,,$1.99/lb,
2020,13,Private Label,Boneless Center Cut Pork Loin Chops,fresh,,BOGO FREE,BOGO_FREE,BOGO FREE all natural pork,NO,,NO,,,$0.00,
2020,13,Private Label,Center Cut Half Pork Loin or Whole Pork Shoulder Butt,fresh,,1.49/lb,STRAIGHT_PRICE,sale all natural,NO,,NO,,,$1.49/lb,
2020,13,Private Label,Pork Spareribs,fresh all natural,,2.49/lb,STRAIGHT_PRICE,sale,NO,,NO,,,$2.49/lb,
2020,13,Certified Angus Beef,Ground Beef from Round,3.5 lb pkg or larger family pack,,3.99/lb,STRAIGHT_PRICE,sale,NO,,NO,,,$3.99/lb,
2020,13,Certified Angus Beef,Boneless Strip Steak,,,7.99/lb,STRAIGHT_PRICE,sale,NO,,NO,,,$7.99/lb,
2020,13,Certified Angus Beef,Bone-In Rib Roast,sold as roast only limit 2,,7.99/lb,STRAIGHT_PRICE,sale,NO,,NO,,,$7.99/lb,
2020,13,Certified Angus Beef,Whole Boneless Eye of Round,sliced free,,3.49/lb,STRAIGHT_PRICE,sale,NO,,NO,,,$3.49/lb,
2020,13,Private Label,Frenched Rack of Lamb,all natural,,9.99/lb,STRAIGHT_PRICE,sale,NO,,NO,,,$9.99/lb,
2020,13,Private Label,Meijer 90% Lean Ground Beef,fresh never frozen,,4.49/lb,STRAIGHT_PRICE,sale,NO,,NO,,,$4.49/lb,
