Year,Page,Brand,Product,Size,Base_Price,Promo_Price,Promo_Type,Promo_Details,Digital_Req,Non_Digital_Price,Member_Req,Savings,Discount_Depth,Net_Price,Core_Item
2025,1,Bowl & Basket,Fresh Turkey,10-22 lb avg,,0.60/lb,SPEND_GET,With qualified purchase,NO,,YES,,,0.6,CORE_ITEM
2025,1,Breyers,Ice Cream,48 oz,3.5,2.5,MULTIBUY,2 for $5,YES,3.5,YES,1,29%,2.5,
2025,1,Coca-Cola,Bottles 8-Pack or Cans 12-Pack,96-144 oz,5.5,4.25,MULTIBUY,4 for $17,YES,5.5,YES,1.25,23%,4.25,
2025,1,Poland Spring,Water 24-Pack,405.6 oz,5.33,3.33,MULTIBUY,3 for $10,YES,5.33,YES,2,37%,3.33,
2025,1,Pepsi,Bottles 6-Pack,101.4 oz,4,2.5,MULTIBUY,4 for $10,YES,4,YES,1.5,37%,2.5,
2025,1,Canada Dry,Ginger Ale 2-Liter,2L,1.25,1,MULTIBUY,4 for $4,YES,1.25,YES,0.25,20%,1,
2025,1,Hellmann's,Real Mayonnaise,30 oz,5.99,3.99,DIGITAL_ONLY,$2 off digital coupon,YES,5.99,YES,2,33%,3.99,
2025,1,Bowl & Basket,Sweet Potatoes,3 lb bag,,1.5,MULTIBUY,2 for $3,NO,,YES,,,1.5,
2025,1,Green Mountain,Coffee K-Cups,10 ct,5.99,2.5,MULTIBUY,2 for $5,NO,,YES,3.49,58%,2.5,
2025,1,LavAzza,Coffee K-Cups,10 ct,,2.5,MULTIBUY,2 for $5,NO,,YES,,,2.5,
2025,1,Bowl & Basket,White Mushrooms,40 oz,7.99,6.99,STRAIGHT_PRICE,Save $1.00,NO,,YES,1,13%,6.99,
2025,1,Glory,Greens,2 lb bag,3.99,3.49,STRAIGHT_PRICE,Save 50¢,NO,,YES,0.5,13%,3.49,
2025,1,Fresh,Cranberries,12 oz bag,,1.49,STRAIGHT_PRICE,Save 50¢,NO,,YES,0.5,,1.49,
2025,1,Handi-Foil,Giant Oval Rack Roaster,each,,3.49,STRAIGHT_PRICE,,NO,,YES,,,3.49,
2025,1,Proctor Silex,Electric Knife,each,29.99,14.99,STRAIGHT_PRICE,Save $15.00,NO,,YES,15,50%,14.99,
2025,1,Ferrero Rocher,Collection Chocolates,12-15 piece,,3.49,STRAIGHT_PRICE,,NO,,YES,,,3.49,
2025,1,Reddi Wip,Whipped Topping,6.5 oz,,2.49,STRAIGHT_PRICE,,NO,,YES,,,2.49,
2025,1,General Mills,Cereal Large Size,11.2-16.8 oz,,1.99,STRAIGHT_PRICE,Save $1.00,NO,,YES,1,,1.99,
2025,1,Land O Lakes,Snack Cheese,7.5 oz,,1.99,STRAIGHT_PRICE,,NO,,YES,,,1.99,
2025,1,Land O Lakes,Cheese Cubes & Chunk Cheese,8 oz,,2.99,STRAIGHT_PRICE,,NO,,YES,,,2.99,
2025,1,Halos,Mandarins 2-lb Bag & Mandarins 3-lb Bag,2-3 lb,,2.99,STRAIGHT_PRICE,Save $1.00,NO,,YES,1,,2.99,
2025,1,Fresh Express,Salad Blends,5-11 oz,,2.49,STRAIGHT_PRICE,Save 60¢,NO,,YES,0.6,,2.49,
2025,1,Beef,Chuck Steak,Fresh Bone-In per lb,,5.99/lb,STRAIGHT_PRICE,,NO,,YES,,,5.99,
2025,1,Fresh Premium,Atlantic Salmon Fillet,Farm Raised per lb,8.99/lb,6.99/lb,STRAIGHT_PRICE,Save $2.00/lb,NO,,YES,2,22%,6.99,
2025,1,Boneless,Center Cut Pork Chops,Fresh 3+ lbs per lb,,2.99/lb,STRAIGHT_PRICE,Save $1.50,NO,,YES,1.5,,2.99,
2025,1,Bowl & Basket,Extra Jumbo EZ-Peel Shrimp,2 lb bag 16-20 ct,17.98,15.98,STRAIGHT_PRICE,Save $2.00,NO,,YES,2,11%,15.98,
2025,1,Bowl & Basket,Jumbo Cleaned Shrimp,2 lb bag 21-25 ct,17.98,15.98,STRAIGHT_PRICE,Save $2.00,NO,,YES,2,11%,15.98,
2025,1,Bowl & Basket,American Cheese,Store Sliced per lb,7.99/lb,4.99/lb,STRAIGHT_PRICE,Save up to $3.00,NO,,YES,3,37%,4.99,
2025,1,Philadelphia,Brick Cream Cheese,8 oz,3.49,1.99,STRAIGHT_PRICE,Save $1.50,NO,,YES,1.5,43%,1.99,CORE_ITEM
2025,1,Vizio,55-in 4K Smart LED TV,each,279.99,179.99,STRAIGHT_PRICE,Save $100.00,NO,,YES,100,36%,179.99,
2025,1,Ronzoni,Pasta,12 oz-1 lb,,0.99,STRAIGHT_PRICE,Save 60¢,NO,,YES,0.6,,0.99,
2025,1,Wesson,Oil,1 gal,12.99,8.99,STRAIGHT_PRICE,Save $4.00,NO,,YES,4,31%,8.99,
2025,1,King's Hawaiian,Dinner Rolls,12 oz pkg of 12,4.49,2.99,STRAIGHT_PRICE,Save $1.50,NO,,YES,1.5,33%,2.99,
2025,1,Bowl & Basket,Shredded Cheese,6-8 oz,,1.77,STRAIGHT_PRICE,,NO,,YES,,,1.77,
2025,1,Ocean Spray,Cranberry Sauce,14 oz,2.49,1.99,STRAIGHT_PRICE,Save 50¢,NO,,YES,0.5,20%,1.99,CORE_ITEM
2025,1,Green,Asparagus,Tender per lb,3.49/lb,1.49/lb,STRAIGHT_PRICE,Save $2.00/lb,NO,,YES,2,57%,1.49,
2025,1,Del Monte,Vegetables,13.5-15.25 oz,1.79,0.99,STRAIGHT_PRICE,Save 80¢,NO,,YES,0.8,45%,0.99,
2025,1,Ore-Ida,Potatoes,19-32 oz,4.59,2.99,STRAIGHT_PRICE,Save $1.60,NO,,YES,1.6,35%,2.99,
2025,1,Stove Top,Stuffing Mix,6 oz,3.15,1.67,MULTIBUY,3 for $5,NO,,YES,1.48,47%,1.67,CORE_ITEM
2025,1,Heinz,Home Style Gravy,12 oz,3.15,1.67,MULTIBUY,3 for $5,NO,,YES,1.48,47%,1.67,
2025,1,Hormel,Gatherings Party Trays,28 oz,13.99,11.99,STRAIGHT_PRICE,Save $2.00,NO,,YES,2,14%,11.99,
2025,1,Frito Lay,Snacks Party Size,9.75-18 oz,5.79,3.33,MULTIBUY,3 for $10,NO,,YES,2.46,42%,3.33,
2025,1,Kellogg's,Club or Town House Crackers,9-13.8 oz,4.39,2,MULTIBUY,3 for $6,NO,,YES,2.39,54%,2,
2025,1,Freihofer's or Maier's,Italian Bread,16-20 oz,,2.99,STRAIGHT_PRICE,,NO,,YES,,,2.99,
2025,1,Sweet,Blueberries,1 dry pint,2.49,1.99,STRAIGHT_PRICE,Save 50¢,NO,,YES,0.5,20%,1.99,
2025,1,Scott,Bath Tissue,12-18 Pack,,9.99,STRAIGHT_PRICE,Save up to $2.00,NO,,YES,2,,9.99,
2025,1,Nature Made,Vitamins,30-400 ct,,50% OFF,PERCENT_OFF,1/2 Price,NO,,YES,50%,50%,,
2025,1,Crest,Toothpaste,4.2 oz,,0.99,STRAIGHT_PRICE,,NO,,YES,,,0.99,
2025,1,Hefty,Slider Bags,10-20 ct,3.19,1.99,STRAIGHT_PRICE,Save $1.20,NO,,YES,1.2,38%,1.99,
2025,1,Cottonelle,Bath Tissue Mega Roll 12-Pack,12 pack,,12.99,STRAIGHT_PRICE,Save up to $4.00,NO,,YES,4,,12.99,
2025,1,Scott,Towels Double Roll 15-Pack,15 pack,,12.99,STRAIGHT_PRICE,Save up to $2.00,NO,,YES,2,,12.99,
2025,1,Store Baked,Apple or Pumpkin Pie,22-24 oz,,4.99,STRAIGHT_PRICE,Save $1.00,NO,,YES,1,,4.99,
2025,1,Store Baked,Family Size Pumpkin Pie,38-40 oz,,7.99,STRAIGHT_PRICE,Save $3.00,NO,,YES,3,,7.99,
2025,1,Sara Lee,Pie,27-34 oz,,3.99,STRAIGHT_PRICE,Save $3.50,NO,,YES,3.5,,3.99,
2025,1,Edwards,Pie,24-30.4 oz,,4.99,STRAIGHT_PRICE,,NO,,YES,,,4.99,
2025,1,Maxwell House,Ground Coffee,9.9-11.5 oz,,4.99,STRAIGHT_PRICE,Save up to $4.50,NO,,YES,4.5,,4.99,
2025,1,New England,Ground Coffee,10-12 oz,,4.99,STRAIGHT_PRICE,,NO,,YES,,,4.99,
2025,1,Old Croc,Extra Sharp Cheddar,6-7 oz,5.99,4.99,STRAIGHT_PRICE,Save $1.00,NO,,YES,1,17%,4.99,
2025,1,Di Bruno Bros.,Artisan Cheese Trio,15 oz,,14.99,STRAIGHT_PRICE,Save $2.00,NO,,YES,2,,14.99,
2025,1,BelGioioso,Burrata,8 oz,6.99,5.99,STRAIGHT_PRICE,Save $1.00,NO,,YES,1,14%,5.99,
2025,1,Bowl & Basket,24-Month Parmigiano Reggiano,Store Cut per lb,,15.99/lb,STRAIGHT_PRICE,,NO,,YES,,,15.99,
2025,1,Boschi Fratelli,Prosciutto di Parma,Store Sliced per lb,,15.99/lb,STRAIGHT_PRICE,Save $3.00/lb,NO,,YES,3,,15.99,
2025,1,Di Bruno Bros.,Spanish Trio,6 oz,,7.99,STRAIGHT_PRICE,Save $1.00,NO,,YES,1,,7.99,
2025,1,Columbus,Charcuterie Trays,12-12.5 oz,14.99,12.99,STRAIGHT_PRICE,Save $2.00,NO,,YES,2,13%,12.99,
2025,1,Hotel Bar Keller's & Breakstone's,Butter Quarters,1 lb,4.99,3.5,DIGITAL_ONLY,2-Day Sale $4 off 2,YES,4.99,YES,1.49,30%,3.5,
2025,1,Bowl & Basket,Large EZ-Peel Shrimp,2 lb bag 31-40 ct,10.88,8.88,DIGITAL_ONLY,2-Day Sale $2 off,YES,10.88,YES,2,18%,8.88,
2025,1,Honeycrisp,Apples,Washington State per lb,1.99/lb,0.77/lb,DIGITAL_ONLY,2-Day Sale $1.22 off,YES,1.99,YES,1.22,61%,0.77,
2025,1,Brawny,Double Roll Towels 4-Pack,4 pack,5.99,2.5,DIGITAL_ONLY,2-Day Sale 2 for $5,YES,5.99,YES,3.49,58%,2.5,
2025,1,Purex,Laundry Detergent,43.5-50 oz,2.99,1,DIGITAL_ONLY,2-Day Sale 2 for $2,YES,2.99,YES,1.99,67%,1,
2025,1,Rayovac,Alkaline Batteries,8 ct AA or AAA,2.99,1.5,DIGITAL_ONLY,2-Day Sale 2 for $3,YES,2.99,YES,1.49,50%,1.5,
2025,1,Banquet,Brown'N Serve Sausage,6.4 oz,1.79,0.75,DIGITAL_ONLY,2-Day Sale 4 for $3,YES,1.79,YES,1.04,58%,0.75,
2025,1,Lay's,Potato Chips,4.75-8 oz,4,1.5,DIGITAL_ONLY,2-Day Sale 4 for $6,YES,4,YES,2.5,62%,1.5,
2025,1,Nature's Reserve,80% Lean Ground Beef,16 oz,5.99,2.99,DIGITAL_ONLY,2-Day Sale 3 for $8.97,YES,5.99,YES,3,50%,2.99,
2025,1,Frito Lay,Snacks Party Size,9.75-18 oz,5.99,2.99,DIGITAL_ONLY,2-Day Sale $9 off 3,YES,5.99,YES,3,50%,2.99,
2025,2,Bowl & Basket,All Natural Frozen Turkey,10-22 lb avg,1.59/lb,FREE,SPEND_GET,Free with $400 purchase,NO,,YES,1.59/lb,100%,0,CORE_ITEM
2025,2,Shady Brook,Turkey Breast,4-7 lb avg,1.99/lb,FREE,SPEND_GET,Free with $400 purchase,NO,,YES,1.99/lb,100%,0,
