Year,Page,Brand,Product,Size,Base_Price,Promo_Price,Promo_Type,Promo_Details,Digital_Req,Non_Digital_Price,Member_Req,Savings,Discount_Depth,Net_Price,Core_Item,Retailer,Promo_Type_Std,Price_Per_Unit,Net_Price_Numeric
2019,1,,Red or Green Seedless Grapes,sweet & crunchy,,$2.49/lb,STRAIGHT_PRICE,,NO,,NO,,,2.49,,Albertsons,STRAIGHT_PRICE,2.49,2.49
2019,1,,Granny Smith Apples,crisp,,$1.69/lb,STRAIGHT_PRICE,,NO,,NO,,,1.69,,Albertsons,STRAIGHT_PRICE,1.69,1.69
2019,1,NatureSweet,Cherub Tomatoes,10 oz,,$2.50,MULTIBUY,2 for $5,NO,,NO,,,2.50,,Albertsons,MULTIBUY,2.5,2.5
2019,1,,Cranberry Orange Relish,14 oz,,$3.99,STRAIGHT_PRICE,Made Fresh Daily,NO,,NO,,,3.99,,Albertsons,STRAIGHT_PRICE,3.99,3.99
2019,1,Private Label,Stuffing Mix,26 oz,,$4.99,STRAIGHT_PRICE,Made Fresh Daily,NO,,NO,,,4.99,,Albertsons,STRAIGHT_PRICE,4.99,4.99
2019,1,,Sliced Brussels Sprouts,10 oz,,$4.99,STRAIGHT_PRICE,,NO,,NO,,,4.99,,Albertsons,STRAIGHT_PRICE,4.99,4.99
2019,1,,Yams or Sweet Potatoes,fresh,,$1.49/lb,STRAIGHT_PRICE,,NO,,NO,,,1.49,,Albertsons,STRAIGHT_PRICE,1.49,1.49
2019,1,,Fresh Green Beans,bulk,,$1.99/lb,STRAIGHT_PRICE,,NO,,NO,,,1.99,,Albertsons,STRAIGHT_PRICE,1.99,1.99
2019,1,Fresh Express,Salad Kit,8.7-13.8 oz,,$3.00,MULTIBUY,2 for $6,NO,,NO,,,3.00,,Albertsons,MULTIBUY,3.0,3.0
2019,1,O Organics,Honeycrisp Apples,crisp & sweet,,$2.49/lb,STRAIGHT_PRICE,,NO,,NO,,,2.49,,Albertsons,STRAIGHT_PRICE,2.49,2.49
2019,1,O Organics,Celery Hearts,16 oz pkg,,$2.99,STRAIGHT_PRICE,,NO,,NO,,,2.99,,Albertsons,STRAIGHT_PRICE,2.99,2.99
2019,1,O Organics,Salad,5 oz,,$3.00,MULTIBUY,2 for $6,NO,,NO,,,3.00,,Albertsons,MULTIBUY,3.0,3.0
2019,1,O Organics,Cranberries,8 oz,,$2.99,STRAIGHT_PRICE,,NO,,NO,,,2.99,,Albertsons,STRAIGHT_PRICE,2.99,2.99
2019,1,O Organics,Herbs,.66 oz,,$2.00,MULTIBUY,2 for $4,NO,,NO,,,2.00,,Albertsons,MULTIBUY,2.0,2.0
